,0
0,"{'id': 75202990, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '1200013', 'nomeIBGE': 'ACRELÂNDIA', 'nomeIBGEsemAcento': 'ACRELANDIA', 'pais': 'BRASIL', 'uf': {'sigla': 'AC', 'nome': 'ACRE'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 307671.0, 'quantidadeBeneficiados': 1563}"
1,"{'id': 69202460, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '1200054', 'nomeIBGE': 'ASSIS BRASIL', 'nomeIBGEsemAcento': 'ASSIS BRASIL', 'pais': 'BRASIL', 'uf': {'sigla': 'AC', 'nome': 'ACRE'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 443147.0, 'quantidadeBeneficiados': 1336}"
2,"{'id': 71003156, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '1200104', 'nomeIBGE': 'BRASILÉIA', 'nomeIBGEsemAcento': 'BRASILEIA', 'pais': 'BRASIL', 'uf': {'sigla': 'AC', 'nome': 'ACRE'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 615761.0, 'quantidadeBeneficiados': 3030}"
3,"{'id': 75803233, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '1200138', 'nomeIBGE': 'BUJARI', 'nomeIBGEsemAcento': 'BUJARI', 'pais': 'BRASIL', 'uf': {'sigla': 'AC', 'nome': 'ACRE'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 305647.0, 'quantidadeBeneficiados': 1326}"
4,"{'id': 67505039, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '1200179', 'nomeIBGE': 'CAPIXABA', 'nomeIBGEsemAcento': 'CAPIXABA', 'pais': 'BRASIL', 'uf': {'sigla': 'AC', 'nome': 'ACRE'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 367782.0, 'quantidadeBeneficiados': 1444}"
5,"{'id': 69302315, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '1200203', 'nomeIBGE': 'CRUZEIRO DO SUL', 'nomeIBGEsemAcento': 'CRUZEIRO DO SUL', 'pais': 'BRASIL', 'uf': {'sigla': 'AC', 'nome': 'ACRE'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 3357667.0, 'quantidadeBeneficiados': 10131}"
6,"{'id': 67602234, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '1200252', 'nomeIBGE': 'EPITACIOLÂNDIA', 'nomeIBGEsemAcento': 'EPITACIOLANDIA', 'pais': 'BRASIL', 'uf': {'sigla': 'AC', 'nome': 'ACRE'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 355090.0, 'quantidadeBeneficiados': 1659}"
7,"{'id': 74205461, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '1200302', 'nomeIBGE': 'FEIJÓ', 'nomeIBGEsemAcento': 'FEIJO', 'pais': 'BRASIL', 'uf': {'sigla': 'AC', 'nome': 'ACRE'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 1422577.0, 'quantidadeBeneficiados': 4574}"
8,"{'id': 76303912, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '1200328', 'nomeIBGE': 'JORDÃO', 'nomeIBGEsemAcento': 'JORDAO', 'pais': 'BRASIL', 'uf': {'sigla': 'AC', 'nome': 'ACRE'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 495942.0, 'quantidadeBeneficiados': 1258}"
9,"{'id': 65602695, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '1200336', 'nomeIBGE': 'MÂNCIO LIMA', 'nomeIBGEsemAcento': 'MANCIO LIMA', 'pais': 'BRASIL', 'uf': {'sigla': 'AC', 'nome': 'ACRE'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 1080155.0, 'quantidadeBeneficiados': 3074}"
