,series,genero,votos,inicio,fim
0,Breaking Bad,"['Crime', 'Drama', 'Thriller']","1,289,296",2008,2013
1,Game of Thrones,"['Action', 'Adventure', 'Drama']","1,614,914",2011,2019
2,Friends,"['Comedy', 'Romance']","722,129",1994,2004
3,Família Soprano,"['Crime', 'Drama']","265,983",1999,2007
4,Anos Incríveis,"['Comedy', 'Drama', 'Family']","32,406",1988,1993
5,Seinfeld,['Comedy'],"234,181",1989,1998
6,House of Cards,['Drama'],"441,519",2013,2018
7,Lost,"['Adventure', 'Drama', 'Fantasy']","466,191",2004,2010
8,Westworld,"['Drama', 'Mystery', 'Sci-Fi']","368,756",2016,presente
9,Stranger Things,"['Drama', 'Fantasy', 'Horror']","686,614",2016,presente
10,Arquivo X,"['Crime', 'Drama', 'Mystery']","187,592",1993,2018
11,Better Call Saul,"['Crime', 'Drama']","264,731",2015,presente
12,Narcos,"['Biography', 'Crime', 'Drama']","312,331",2015,2017
13,Demolidor,"['Action', 'Crime', 'Drama']","339,624",2015,2018
14,Uma Família da Pesada,"['Animation', 'Comedy']","290,182",1999,presente
15,Os Simpsons,"['Animation', 'Comedy']","343,262",1989,presente
16,A Escuta,"['Crime', 'Drama', 'Thriller']","256,746",2002,2008
17,Roma,"['Action', 'Drama', 'History']","145,115",2005,2007
18,Rick e Morty,"['Animation', 'Adventure', 'Comedy']","307,551",2013,presente
19,Homeland,"['Crime', 'Drama', 'Mystery']","285,697",2011,presente
20,Vikings,"['Action', 'Adventure', 'Drama']","363,280",2013,presente
21,O Justiceiro,"['Action', 'Adventure', 'Crime']","160,553",2017,2019
22,The Boys,"['Action', 'Comedy', 'Crime']","112,799",2019,presente
23,Os 13 Porquês,"['Drama', 'Mystery']","229,102",2017,presente
24,24 Horas,"['Action', 'Crime', 'Drama']","165,185",2001,2010
25,Dois Homens e Meio,"['Comedy', 'Romance']","230,472",2003,2015
26,X-Men,"['Animation', 'Action', 'Family']","35,102",1992,1997
27,Fargo,"['Crime', 'Drama', 'Thriller']","287,878",2014,presente
28,American Crime Story,"['Biography', 'Crime', 'Drama']","71,642",2016,presente
29,Dexter,"['Crime', 'Drama', 'Mystery']","611,488",2006,2013
30,The Walking Dead,"['Drama', 'Horror', 'Thriller']","809,224",2010,presente
31,MacGyver - Profissão: Perigo,"['Action', 'Adventure', 'Crime']","33,534",1985,1992
32,O Conto da Aia,"['Drama', 'Sci-Fi', 'Thriller']","142,743",2017,presente
33,Sense8,"['Drama', 'Mystery', 'Sci-Fi']","128,153",2015,2018
34,True Detective,"['Crime', 'Drama', 'Mystery']","460,433",2014,presente
35,The Umbrella Academy,"['Action', 'Adventure', 'Comedy']","87,977",2019,presente
36,Mr. Robot: Sociedade Hacker,"['Crime', 'Drama', 'Thriller']","295,167",2015,presente
37,Boardwalk Empire: O Império do Contrabando,"['Crime', 'Drama', 'History']","163,345",2010,2014
38,Jornada nas Estrelas: A Nova Geração,"['Action', 'Adventure', 'Mystery']","90,523",1987,1994
39,"Scooby-Doo, Cadê Você?","['Animation', 'Short', 'Adventure']","27,603",1969,1970
40,Prison Break,"['Action', 'Crime', 'Drama']","441,065",2005,2017
41,Taboo,"['Drama', 'Mystery', 'Thriller']","105,667",2017,presente
42,Dr. House,"['Drama', 'Mystery']","387,724",2004,2012
43,Plantão Médico,"['Drama', 'Romance']","47,294",1994,2009
44,Big Bang: A Teoria,"['Comedy', 'Romance']","672,389",2007,2019
45,South Park,"['Animation', 'Comedy']","312,260",1997,presente
46,Buffy: A Caça-Vampiros,"['Action', 'Drama', 'Fantasy']","121,064",1997,2003
